"Age","MonthlySalary","TotalAsset","TotalRequired","NumberInstallments","Risk"
90,19123,488090,143346,97,100
20,19175,803290,239671,194,0.952380952380963
77,10856,470255,350049,339,28.0952380952381
83,99,786255,392296,286,100
92,308,428137,397643,210,100
81,10310,299653,297870,48,100
32,6811,585449,325558,300,19.0789966764755
22,10393,523136,359094,323,4.07690438927386
62,2058,254778,291291,137,100
65,14912,900022,397463,272,22.3809523809524
48,882,514996,38688,84,100
56,18775,513790,117512,109,18.0952380952381
30,849,981005,228038,348,100
74,6938,251662,360515,141,100
98,11071,746497,285578,349,100
94,19270,448672,113688,121,100
45,11208,601679,386635,159,30.8265282809491
67,14067,987451,40552,38,23.3333333333333
50,9207,246746,68628,28,100
87,5778,689764,203714,302,37.6380939290705
5,19804,779038,213747,166,100
17,19133,564699,350100,23,100
43,8564,359933,65535,176,11.9047619047619
59,16991,937637,362649,341,19.5238095238095
70,3412,618156,215599,38,100
71,621,291101,140133,325,100
89,13992,240497,202475,286,100
48,12196,99353,5024,247,14.2857142857143
46,3942,246321,193741,111,100
45,8852,615854,154884,121,23.1389881951593
80,3342,25469,34457,353,38.2187046104392
75,19301,745207,361780,103,42.1593220294365
73,4746,670233,153312,228,35.9968840385246
62,11564,644255,49189,126,20.9523809523809
17,914,402408,77510,148,100
74,10045,541872,320617,110,100
25,1232,818034,173453,261,100
11,12331,158132,76248,135,100
53,6069,896369,164647,289,16.6666666666667
98,11435,220517,383806,333,100
26,11345,871889,375813,274,9.57125459939358
93,351,759916,315069,261,100
37,12846,548203,124729,325,9.04761904761905
45,8080,575701,193485,231,14.0350119426017
66,11019,560032,329580,237,29.7780421835583
59,8453,360274,346696,39,100
88,4625,668112,326131,325,100
83,17226,705927,396086,102,49.4989255580137
1,12238,682223,241511,287,100
31,5899,76589,129820,190,24.4131434733807
83,2532,280205,104191,200,48.0846988429217
50,3973,377304,217384,110,100
70,6473,465116,337952,149,100
73,8108,717015,249675,124,46.1011333781535
84,14896,416036,193307,313,31.4285714285714
94,14541,699396,190527,210,100
58,10958,882341,226937,30,100
76,333,22958,182735,256,100
39,4692,919819,125877,290,10
39,14062,105389,194615,178,25.2824807954166
12,2145,565655,330526,325,100
98,10107,534700,294309,312,100
73,3504,507311,351929,283,100
67,4309,416305,289574,259,100
47,19609,3721,128265,46,56.0677652107894
66,1375,99131,42783,73,100
9,4425,215502,319367,148,100
49,1795,683868,276252,352,100
20,5637,625280,233808,221,16.5250303056965
41,16155,464723,63259,308,10.952380952381
34,8482,99412,15374,64,7.61904761904761
4,5179,845867,204046,233,100
80,16923,6271,162650,206,61.5719701960095
38,12236,127629,263157,294,26.6907478914
65,10230,886508,362780,286,28.831326344971
78,7307,973085,295379,276,39.1460688358572
44,18181,396198,25897,200,12.3809523809524
13,3879,622063,49338,134,100
83,2070,943392,307493,353,100
86,16472,884385,103094,8,100
49,3542,983786,298598,215,100
64,14077,7845,392517,24,100
62,7425,295338,277554,259,31.1902085462906
53,10700,660292,98512,95,16.6666666666667
39,5549,263192,90626,89,25.1685314736757
86,17054,764907,190553,314,32.3809523809524
52,1647,998634,386228,139,100
50,7114,299918,234256,328,15.36855080807
31,12908,644615,72788,255,6.19047619047619
82,2230,433075,251667,72,100
71,14985,536517,93221,307,25.2380952380952
34,473,411260,142943,90,100
38,13223,695774,376169,351,9.52380952380952
44,9713,473896,126827,197,12.3809523809524
10,16069,831306,49445,30,100
93,9253,151591,171876,36,100
38,17991,561064,217650,107,13.3749926159299
98,4919,723422,296644,293,100
37,5701,698060,217485,270,18.7889805208241
52,5086,575231,77798,111,25.3352699726642
98,10561,321774,135748,88,100
83,6395,752055,217301,67,100
88,18321,893141,84243,268,100
5,9452,417378,218648,114,100
93,18520,17575,8865,335,100
99,17269,440396,52361,144,100
51,3073,753158,1847,228,15.7142857142857
31,8340,207475,134202,94,20.0516705094878
12,7736,6129,20113,58,100
30,10275,154439,103399,353,5.71428571428571
5,17753,241471,73796,204,100
21,16162,104937,150660,323,11.5447270106768
16,10182,958979,253846,162,100
61,9691,393634,207110,281,20.4761904761905
26,17953,862213,167361,261,3.80952380952381
80,11923,334409,124022,220,29.5238095238095
66,4687,185719,166431,31,100
14,3153,751997,185720,22,100
13,7094,725364,305821,240,100
55,10868,914926,92008,303,17.6190476190476
67,9781,647147,25113,357,23.3333333333333
48,14817,884803,64441,105,14.2857142857143
70,10357,564076,123432,167,24.7619047619048
72,18623,492366,376050,334,25.7142857142857
5,1669,618589,230772,122,100
39,12584,416502,85898,337,10
21,1361,905297,283784,201,100
42,2772,223716,282917,351,100
32,70,84202,138524,281,100
31,4016,394588,274568,171,100
5,944,292568,392917,160,100
72,10597,440939,274192,123,43.2018978011932
14,5426,131596,330775,195,100
72,870,842856,135818,322,100
72,14876,140527,193162,276,34.7973351753598
79,16620,198731,85735,156,29.0476190476191
56,9331,994159,54424,43,26.8540577336329
83,1420,290146,49402,120,100
49,7077,914776,89573,241,14.7619047619048
37,15316,789112,6489,230,9.04761904761905
97,11314,325738,320551,310,100
6,19313,664512,32120,95,100
70,6643,409018,293147,162,100
12,9155,241444,152642,145,100
56,16567,154732,303033,173,36.2148158309963
37,267,154607,221354,347,100
11,11121,391914,153368,92,100
25,11252,885198,45595,107,3.33333333333333
59,6901,310503,140958,39,100
32,3410,345639,30028,227,6.66666666666667
48,6688,928059,263611,241,27.2379052033922
5,16436,397410,210827,186,100
83,12194,769302,158133,226,30.9523809523809
89,15950,729975,19371,125,100
96,5572,53522,309180,128,100
84,2006,57592,127905,202,100
7,13133,390935,320774,6,100
77,5473,6302,368506,182,100
87,16641,413059,187504,283,32.8571428571428
3,12329,338132,146962,359,100
6,12581,339584,242917,146,100
33,7137,299065,245942,58,100
77,885,905254,6254,215,28.0952380952381
24,19933,858194,313102,73,20.6991560030186
76,7940,460790,140271,277,27.6190476190476
94,16482,635245,42341,216,100
37,17633,554102,64100,284,9.04761904761905
61,19254,639379,91760,347,20.4761904761905
80,70,361334,178332,258,100
75,14219,204066,132402,285,27.1428571428572
100,5248,745146,47561,274,100
71,11901,598915,157605,187,25.2380952380952
77,15537,723972,243772,311,28.0952380952381
23,19283,622629,202727,300,2.38095238095237
17,10309,659907,134362,241,100
64,18129,475467,343297,78,41.5078849537059
11,14689,218930,335666,4,100
4,240,680709,385744,53,100
15,438,431068,278391,148,100
91,10630,723136,186325,280,100
31,18879,171644,47261,21,11.5614303951411
17,14108,64971,326481,175,100
84,9717,853557,83028,253,31.4285714285714
6,700,738975,133509,123,100
55,19692,182614,217825,121,23.0073180195985
23,13140,525889,330904,78,100
17,9700,860914,69381,236,100
37,10779,519444,205285,268,9.04761904761905
16,15790,972360,36042,243,100
37,11654,333206,275492,216,11.9231532434094
15,18793,534427,117176,288,100
98,4056,217086,351322,159,100
82,10926,421561,87786,281,30.4761904761905
83,1818,135269,266351,311,100
31,7770,847354,158976,305,6.19047619047619
47,13736,493982,288759,1,100
85,13067,815975,160303,360,31.9047619047619
37,12341,300721,147716,284,9.04761904761905
11,19374,452425,6270,17,100
3,15724,543951,212983,257,100
74,13887,621861,32957,75,26.6666666666667
44,2608,859354,340905,111,100
86,10806,804067,66386,221,32.3809523809524
27,11664,449868,140452,31,100
83,1337,328779,313851,3,100
64,15439,7017,227428,254,54.2096378801622
79,12140,272927,329241,149,49.7689143905441
79,2112,36993,12535,297,29.0476190476191
24,13869,628466,34369,13,18.7040785647088
68,5215,10634,106411,3,100
70,10027,483358,277894,32,100
29,10745,203104,216909,74,100
87,11792,294904,128362,26,100
69,13405,147431,142724,25,100
66,19698,131457,135766,148,23.9150906005641
57,17052,300744,32179,311,18.5714285714286
31,3932,211306,185680,40,100
60,4401,101360,172347,31,100
41,11114,89912,30488,98,10.952380952381
41,4908,583379,305565,276,29.5086292137983
53,5077,193349,314151,138,100
10,9797,816704,292943,35,100
15,10203,407983,160245,175,100
33,15879,789949,63412,220,7.14285714285715
16,6362,237805,105656,347,100
69,13237,661961,308274,93,100
40,5250,722344,159249,171,25.0181970194027
61,206,480788,245739,291,100
78,3816,377571,87224,336,28.5714285714286
79,2915,619638,149659,73,100
38,4261,401590,384239,330,100
8,13702,889624,259501,106,100
12,8377,958257,152225,74,100
62,6355,581210,246188,277,30.4511515396286
38,13724,253909,49364,344,9.52380952380952
69,2080,861301,256618,251,100
82,14651,403543,155387,1,100
64,11233,55726,311397,352,49.2729339381041
23,2654,661273,387018,360,100
58,1460,9952,66379,285,59.8215585967737
74,430,406599,399299,278,100
71,13372,911886,306657,81,100
47,13263,712368,216404,284,13.8095238095238
48,7754,753608,166769,184,19.1018371862534
35,2604,890269,128968,336,18.8145896656535
52,9952,301918,183798,103,30.9335455746189
27,478,373099,249322,185,100
42,16907,66262,124418,170,27.0093823508924
99,12882,749660,78742,280,100
42,14138,534458,42611,292,11.4285714285714
25,15783,834605,107729,235,3.33333333333333
42,10635,647172,235722,36,100
39,10204,687308,253800,226,13.0456527449435
71,17302,940207,18957,230,25.2380952380952
67,13383,516371,388233,51,100
56,14471,455285,32790,303,18.0952380952381
13,11084,914589,106284,134,100
75,3995,730213,361287,186,100
8,2857,698244,336104,18,100
8,699,578158,257058,234,100
66,11378,780782,197011,62,100
38,1999,248070,244602,273,100
39,18517,948374,40608,101,10
93,14973,104066,204227,229,100
30,5185,56522,242876,136,100
47,14023,608289,20339,4,100
57,12915,599263,31881,127,18.5714285714286
43,15822,937180,398849,5,100
91,7906,452044,222531,57,100
4,3141,392620,178992,63,100
49,7501,569621,286141,208,29.919956212064
96,231,391779,273395,15,100
85,895,487916,135850,56,100
7,4035,305082,274157,151,100
47,14783,374784,372924,152,27.0581928859755
37,8807,343329,124319,35,100
35,7943,762259,201781,305,8.09523809523809
25,5417,942955,365654,240,100
76,12735,213485,199397,49,100
51,8207,449096,253090,89,100
53,17411,761164,96650,219,16.6666666666667
91,14310,658289,98535,327,100
74,7231,31489,329335,76,100
64,14907,748903,334398,8,100
3,7694,716705,123037,6,100
28,9178,368393,101798,22,100
53,1907,551247,274303,357,100
61,14198,411221,11525,333,20.4761904761905
25,654,991638,298953,319,100
40,11990,402250,278444,302,10.4761904761905
20,16038,434010,271168,295,0.952380952380963
82,9405,17427,323154,201,75.8457356466046
49,1110,772135,149683,122,100
60,10854,639752,323898,303,20
88,10715,630572,341374,274,100
46,13320,212052,302337,264,23.2874573737253
21,2867,92039,46114,56,100
63,7073,902911,104343,139,23.3543674410815
26,5556,941244,90941,137,9.24300998920808
100,1558,953044,267294,201,100
78,26,302120,74645,103,100
26,9447,374905,231125,334,3.80952380952381
69,14365,959626,253241,22,100
4,10582,259496,35376,118,100
76,6314,634822,149011,155,39.0598137369852
84,945,167895,309410,252,100
26,13634,232583,98882,348,3.80952380952381
86,12761,141098,289877,254,49.4892431387566
68,4841,858187,388341,283,100
18,6073,545057,145357,159,100
73,6705,90504,327924,304,62.9380152544056
24,15271,219811,121361,192,2.85714285714285
38,5515,928001,102797,203,9.52380952380952
90,10075,992913,361834,226,100
10,19303,448513,365702,35,100
66,12352,907171,317520,52,100
2,5714,521675,306321,265,100
34,9006,97983,157497,302,20.214843094517
19,9408,361253,220477,325,0.476190476190482
13,9547,582282,229089,326,100
24,3131,586240,264071,53,100
84,13849,641535,351784,318,31.4285714285714
18,4715,698001,126515,214,100
5,15473,635833,259932,24,100
64,3227,659580,81773,165,33.5334983662671
97,8942,340653,274082,214,100
5,1598,91632,165437,347,100
61,18833,332260,46650,232,20.4761904761905
22,2655,434283,264097,91,100
83,9224,325927,195690,243,30.9523809523809
98,15108,710605,81896,155,100
49,19318,679745,174519,41,32.9672195604845
46,5254,411292,319479,109,100
85,7352,17658,172143,150,73.7978391719177
93,16735,129767,96466,147,100
97,8499,198389,59025,150,100
56,18328,309154,175520,150,18.0952380952381
32,4483,751780,318364,201,100
52,14529,644081,349076,298,16.1904761904762
38,19784,52113,225390,307,35.1500573608919
63,11693,984837,286267,259,21.4285714285714
28,13957,684060,257793,148,11.3860049766766
100,18412,372830,225736,346,100
91,10304,168145,155754,231,100
54,12037,528856,362296,205,27.7729772656297
20,16029,267016,188041,308,0.952380952380963
89,11198,232868,84314,238,100
42,18540,677719,79479,262,11.4285714285714
63,14292,36660,122820,26,100
67,3016,705417,71267,156,34.6604085107179
23,535,992730,118341,197,100
38,175,181615,99908,41,100
71,6039,176331,78694,341,25.2380952380952
89,470,528410,169985,113,100
58,1922,423249,355467,200,100
51,19151,143527,281360,178,32.0436620767158
55,15893,888820,70505,159,17.6190476190476
70,16634,116151,193112,195,38.0462509789532
80,17701,593604,395716,157,39.4476185181388
10,7142,209839,323571,27,100
45,7987,86231,209179,312,32.4492943956179
68,16508,728840,101968,19,100
97,16892,877,20287,273,100
26,4500,886388,347516,318,23.4168704256988
66,3697,768162,55578,178,22.8571428571429
92,5423,235117,369314,209,100
73,13521,743850,380494,183,37.8472259245938
10,7504,538794,236827,177,100
5,14834,634357,51824,261,100
3,326,302378,104624,355,100
68,12166,869890,215107,120,34.5196975060252
8,16872,537757,232248,236,100
21,7735,942340,302195,219,16.0767842271507
42,16346,29372,255797,43,100
79,7726,143470,278953,81,100
3,16743,896007,146502,191,100
88,9761,97930,176613,73,100
13,6428,669804,256221,100,100
42,167,106654,101106,309,100
27,7447,666631,280672,166,22.9375926348193
80,10777,722075,243331,306,29.5238095238095
8,17443,927597,279467,26,100
65,3443,827656,107564,205,33.8415711753446
9,7349,731633,169437,43,100
61,12967,166543,260254,49,100
72,10924,460157,242400,312,25.7142857142857
92,18567,59250,164553,102,100
19,5819,971256,307408,18,100
68,194,795893,191901,126,100
58,14986,84782,99012,60,26.9005392323778
38,288,133241,218627,34,100
4,13738,142794,380545,251,100
13,1396,467398,260963,25,100
69,7981,926408,193738,170,34.2753222442287
89,11206,8654,75356,35,100
9,18650,914121,134746,109,100
99,15222,409451,244001,340,100
61,17110,972807,338241,151,28.3482895613595
72,9053,33675,38111,149,29.5941804078562
23,17537,772245,259165,70,19.9252452702957
13,18566,958800,266965,224,100
37,19259,737221,60518,240,9.04761904761905
19,15625,898859,104558,98,0.476190476190482
54,11256,902218,43205,18,34.8446663470388
10,15420,182644,146213,218,100
67,16760,203920,317878,50,100
71,17685,521868,225064,10,100
57,17933,45002,93969,258,35.9413413440806
40,7629,240303,247735,86,100
71,7411,376987,225994,124,45.0170274221355
4,15464,471403,277947,262,100
91,11848,90611,66888,54,100
52,13903,317615,182600,112,21.0985448286653
96,19948,624344,357049,342,100
88,17290,936194,14218,145,100
47,12177,446404,123219,314,13.8095238095238
28,1755,28040,397377,99,100
93,14271,564058,336053,322,100
1,12214,678219,292403,12,100
84,6345,474054,353254,14,100
60,1465,145220,235319,260,100
19,16499,687144,235852,37,100
89,15662,542151,1760,211,100
38,9700,182896,145607,253,9.52380952380952
63,19979,81166,380500,291,47.6514360803454
49,1601,36012,21084,334,14.7619047619048
6,39,25447,98914,267,100
90,3642,402462,150647,216,100
21,2080,763901,39653,217,1.42857142857143
36,8989,257198,221724,295,8.57142857142857
12,4183,397781,217422,164,100
79,365,730360,328153,172,100
7,18594,601443,262578,91,100
69,13858,156367,271202,328,38.4000398929492
46,16798,741029,127664,320,13.3333333333333
1,8942,923392,133438,36,100
9,19387,556194,246834,1,100
33,14062,984406,48956,105,7.14285714285715
42,15349,19610,302312,1,100
75,18936,883052,338628,339,27.1428571428572
12,12217,827918,161776,159,100
78,14299,341233,53920,215,28.5714285714286
40,4476,540694,240881,144,100
23,492,448135,32742,253,100
76,16013,947247,25691,266,27.6190476190476
68,19256,100018,180758,277,38.6986757880439
36,4757,603861,28285,233,8.57142857142857
32,7614,952198,277670,12,100
32,4962,27048,307184,29,100
86,6929,562601,170802,34,100
62,7055,601448,91146,307,20.9523809523809
84,6984,212184,298951,168,100
4,5910,693741,45455,276,100
32,7142,789812,81719,300,6.66666666666667
45,918,203195,38337,242,26.8744107706468
7,8856,542458,148306,2,100
54,7014,708982,398114,36,100
5,1755,651983,123877,336,100
89,11545,905824,141577,46,100
69,6508,305246,113150,220,24.2857142857143
60,16568,226625,15043,283,20
62,292,644622,335097,270,100
78,13903,697596,165396,68,42.8514192201343
80,10218,820674,289550,277,30.273409477761
41,2027,758136,264195,280,100
51,13413,12701,273512,247,47.4997284005298
10,8262,751665,297239,150,100
5,8259,625887,182451,154,100
4,15275,993169,262914,146,100
59,2610,278507,364907,267,100
100,9325,773334,302907,195,100
53,6715,145677,178925,95,100
28,5242,86128,707,315,4.76190476190476
25,1389,602574,165865,220,100
62,7081,300134,51151,143,20.9523809523809
41,7629,443602,134711,260,10.952380952381
70,14722,709397,118150,20,100
41,5839,800959,57935,63,23.1207880753061
61,15115,628520,58370,263,20.4761904761905
72,4891,313191,327649,124,100
6,15869,76927,90246,360,100
24,6522,541744,115072,134,10.8745001059378
63,18200,176094,257577,49,100
92,19699,555936,151374,225,100
42,6665,127642,57510,25,100
74,16876,146390,206500,124,36.3696529459241
55,15545,38563,338521,234,47.1551768399822
30,15527,905180,121535,96,5.71428571428571
71,10554,303200,386737,265,41.6655381773537
26,15346,423103,24013,173,3.80952380952381
33,4915,167078,142477,163,21.7329313302698
65,11412,526078,218754,318,22.3809523809524
35,9639,687301,219700,324,8.09523809523809
76,2280,672105,162750,286,47.5969278033794
53,5192,781877,265495,252,33.5730239740861
67,16782,489749,254482,140,25.8919949806535
31,7743,611121,34533,250,6.19047619047619
2,3041,633827,364091,278,100
20,12465,353529,196911,15,100
20,19984,159369,263521,160,14.126789570037
55,2417,626339,42514,87,34.465341388943
66,14973,715066,210195,307,22.8571428571429
69,10638,979335,345961,255,31.4822865390415
79,7995,978666,275462,24,100
87,13393,109612,303304,32,100
2,8521,970032,215823,98,100
37,17806,382825,272580,258,9.04761904761905
16,13935,758975,280262,158,100
59,19576,980873,213321,195,19.5238095238095
60,9343,331559,270416,151,35.9429299055283
53,9406,113832,23300,61,16.6666666666667
14,6578,887213,43267,183,100
14,3535,466167,273012,108,100
52,1381,199566,61157,166,100
22,9755,360662,192248,46,100
83,13898,408877,300063,325,30.9523809523809
10,10560,416947,141528,190,100
11,15041,926609,282236,121,100
86,1355,261551,393025,224,100
51,1957,610102,59844,316,15.7142857142857
93,1070,28519,9814,213,100
22,14127,139859,312964,290,20.3419197461324
40,9102,705647,79170,164,10.4761904761905
64,17657,974361,192623,159,21.9047619047619
75,9076,507838,253864,192,37.5952778615622
73,13790,905860,51140,354,26.1904761904762
8,2289,66464,180567,216,100
66,12115,882253,283979,65,100
83,9289,676397,396115,284,42.0861341974403
27,12532,283069,103980,130,4.28571428571429
9,7050,11230,332363,157,100
64,14941,138590,244864,44,100
31,11748,260893,377249,95,100
95,1004,665017,31568,15,100
45,16389,923864,364321,163,21.7485966392014
65,8786,315956,375215,323,35.7676062549535
89,15499,747922,354616,28,100
45,6211,659012,159584,65,100
55,6299,933628,354665,210,100
93,15065,500384,9172,118,100
77,12323,991774,78438,143,28.0952380952381
69,11759,76158,3043,187,24.2857142857143
21,18244,288204,305359,118,13.1344433148867
68,3427,894290,305091,344,100
95,1926,675298,333534,92,100
6,17587,402752,30923,218,100
60,15640,688959,350649,316,20
49,2165,303666,13368,323,14.7619047619048
13,14410,337279,162247,217,100
5,17756,652789,301488,64,100
47,579,383887,158720,3,100
65,11708,449132,373488,134,41.7123008223124
49,11437,614955,135219,134,14.7619047619048
75,10992,89674,207066,271,46.0405354998383
47,2023,954226,354100,178,100
42,2952,425886,380494,125,100
55,963,792721,117050,98,100
99,10407,136802,28850,243,100
39,6000,845842,53825,8,100
48,12237,886700,70692,99,14.2857142857143
83,16181,998259,104957,346,30.9523809523809
60,3244,855548,211546,266,39.7365427219927
87,8450,86994,207538,24,100
43,14227,73359,192740,81,45.95448346403
10,11110,247682,283020,72,100
5,9637,675467,334595,166,100
87,1795,961488,13969,4,100
99,14309,173166,168834,246,100
76,9089,155771,234933,258,38.9128774911104
49,13030,450716,297534,206,18.0238288893434
49,3581,166010,378394,92,100
55,9022,96755,277151,197,51.2726155296812
70,15359,199760,44391,230,24.7619047619048
51,18684,197252,108181,11,100
93,10865,448148,359695,263,100
91,10718,494251,242204,220,100
52,14308,380438,336131,358,16.1904761904762
83,5937,196790,226154,178,53.0375382640653
30,10739,944716,201754,109,19.7080437893012
48,8120,637703,122526,44,100
12,15724,705525,371309,261,100
76,1598,727694,161017,154,100
37,2140,489769,148358,27,100
26,9779,604940,353173,216,17.2067918150999
47,17313,442152,154423,40,32.1943067326203
44,4500,899201,295781,214,100
95,12116,880697,187590,261,100
29,2868,651178,295199,52,100
84,17381,151293,318501,206,48.9280455275539
38,6284,863849,50241,82,9.52380952380952
43,14645,506655,302438,78,100
7,14387,181950,64800,92,100
36,3025,205167,202446,272,28.3571162774506
75,12855,641219,365438,76,100
37,12480,812720,268677,318,9.04761904761905
88,5988,476248,223781,205,100
55,13621,681792,357844,62,100
70,5712,191114,3311,114,24.7619047619048
62,10706,905611,287840,122,39.1600426162683
2,18188,135647,182681,345,100
40,3863,861066,228334,181,100
66,15611,781425,102377,174,22.8571428571429
